sample,Mean_Susc_976,Mean_Susc_15616,Std_Susc_976,Std_Susc_15616,Phase,X_fd,X_fv,X_on
TG02.33A,6.60345e-09,1.75495e-09,1.2042028483606938e-10,2.595081886954636e-11,0.1530653753999027,73.42374062043326,4.8485e-09,9.821265352624664
TG02.36B,3.1269e-09,2.17968e-09,1.0053357648069814e-11,1.05179475184087e-10,0.2176425577236928,30.292622085771846,9.4722e-10,14.078553005043425
TG02.37A,3.78655e-09,5.151999999999999e-12,4.949747468304426e-13,3.964747722112972e-11,0.2028072590817411,99.86393946996606,3.7813979999999996e-09,13.091087427834356
TG02.38A,6.82825e-09,-2.2932e-09,7.152385091701921e-10,7.226631303726509e-11,0.4361577800733829,133.58400761542123,9.12145e-09,29.67254147690478
TG02.39A,1.20805e-08,8.1269e-09,7.778174593051483e-12,4.9921738751769777e-11,0.0670206432765822,32.72712222176234,3.9536e-09,4.2730664557677045
TG02.39B,2.031933333333333e-09,1.027756e-09,4.704312737619952e-10,6.889344439059487e-11,0.3082251459021986,49.419797237442175,1.0041773333333334e-09,20.268168329990637
TG02.41A,2.2047e-09,-1.31605e-09,1.414213562372944e-12,3.8113055505954907e-11,0.2301216618754523,159.69292874313967,3.5207500000000003e-09,14.914199490410937
TG02.40A,2.8007500000000003e-09,-8.3943e-10,1.3788582233137664e-11,4.696410437770529e-11,0.2755002224273049,129.97161474605016,3.64018e-09,17.996523860460954
TG02.40B,1.867733333333333e-09,7.46212e-10,1.2438494013880178e-10,6.72244086415046e-10,0.2999057431343589,60.04718732153056,1.1215213333333336e-09,19.68638270555124
TG02.41B,2.243033333333333e-09,1.45282e-09,1.7124349136050203e-11,4.4592398455342105e-11,0.2326523892908441,35.229674102034444,7.902133333333331e-10,15.084254084064527
TG02.42A,2.3233e-09,-1.16245e-09,1.0182337649086483e-11,6.215468606629759e-11,0.235444916094035,150.03443377953772,3.48575e-09,15.272137456627611
TG02.42B,2.636e-09,1.7873e-09,3.074491827928654e-11,6.539468632847783e-11,0.2645337369606072,32.19650986342944,8.487e-10,17.244884680435327
TG02.43A,3.1282e-09,-3.5575e-09,7.283199846221449e-11,5.228347540093334e-10,0.2136283004441059,213.72354708778207,6.6857e-09,13.810735744259569
TG02.43B,2.7334e-09,1.92822e-09,2.6590787878511697e-11,5.654959769971831e-11,0.2378301994050939,29.45708641252652,8.051799999999998e-10,15.432820513407728
